Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b377245	[SoC] Link Fingerprints	https://bugzilla.mozilla.org/show_bug.cgi?id=377245	"
toolkit/components/downloads/src/nsDownloadManager.cpp
toolkit/components/downloads/src/nsDownloadManager.h"
b556957	Address bar spoofing possible via window.open() + HTTP 204 responses or window.stop()	https://bugzilla.mozilla.org/show_bug.cgi?id=556957	"
a/browser/base/content/browser.js"
b645564	"""view-source:"" on DV SSL does not update site identity button text -> spoofing"	https://bugzilla.mozilla.org/show_bug.cgi?id=645564	"
a/browser/base/content/browser.js
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug420160.js"
b1126675	Site identity data is not updated in some cases of weird certificates	https://bugzilla.mozilla.org/show_bug.cgi?id=1126675	"
a/browser/base/content/browser.js
a/mobile/android/chrome/content/browser.js
a/security/manager/pki/resources/content/editcerts.js
a/security/manager/tools/genRootCAHashes.js"
b1235655	add chromeutils for JS manipulation of origin attributes	https://bugzilla.mozilla.org/show_bug.cgi?id=1235655	"
a/dom/base/ChromeUtils.cpp
a/dom/base/ChromeUtils.h
a/dom/webidl/ChromeUtils.webidl"
b1237078	live mark service needs to use createCodebasePrincipal and global user context id origin attribute	https://bugzilla.mozilla.org/show_bug.cgi?id=1237078	"
a/toolkit/components/places/nsLivemarkService.js"
b633691	Mitigate clickjacking of about:certerror	https://bugzilla.mozilla.org/show_bug.cgi?id=633691	"
a/browser/components/certerror/content/aboutCertError.xhtml"
b882977	Identity state of IDENTITY_MODE_UNKNOWN is set for about:home when a new window is created	https://bugzilla.mozilla.org/show_bug.cgi?id=882977	"
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug882977.js"
b1225422	Update the PrivilegedPackageRoot certificate	https://bugzilla.mozilla.org/show_bug.cgi?id=1225422	"
a/netwerk/test/mochitests/signed_web_packaged_app.sjs
a/netwerk/test/unit/test_packaged_app_utils.js"
b989875	"[e10s] ""Untrusted Connection"" page's ""Add Exception"" button does nothing"	https://bugzilla.mozilla.org/show_bug.cgi?id=989875	"
a/browser/base/content/browser.js
a/browser/base/content/content.js"
b305269	When Firefox is not already running, it accepts chrome:// URLs without -chrome	https://bugzilla.mozilla.org/show_bug.cgi?id=305269	"
browser.js"
b271051	Address bar should use another color when lock icon is broken (https page with mixed content)	https://bugzilla.mozilla.org/show_bug.cgi?id=271051	"
browser/themes/pinstripe/browser/browser.css
browser/themes/winstripe/browser/browser.css"
b1195881	Set userContextId on the docShell for new remote (e10s) tabs	https://bugzilla.mozilla.org/show_bug.cgi?id=1195881	"
a/browser/components/contextualidentity/test/browser/browser.ini
a/dom/ipc/TabChild.cpp
a/netwerk/ipc/NeckoParent.cpp"
b583175	Add a security delay to the main action of PopupNotifications	https://bugzilla.mozilla.org/show_bug.cgi?id=583175	"
a/browser/base/content/test/browser_popupNotification.js
a/build/automation.py.in
a/modules/libpref/src/init/all.js
a/toolkit/components/telemetry/Histograms.json
a/toolkit/content/PopupNotifications.jsm"
b285440	Firefox UI to clear SSL session	https://bugzilla.mozilla.org/show_bug.cgi?id=285440	"
browser/app/profile/firefox.js
browser/base/content/sanitize.js
browser/base/content/sanitize.xul
browser/components/preferences/sanitize.xul
browser/locales/en-US/chrome/browser/sanitize.dtd
browser/locales/en-US/chrome/browser/preferences/sanitize.dtd"
b291651	Address bar accepts dragged javascript urls	https://bugzilla.mozilla.org/show_bug.cgi?id=291651	"
browser/base/content/browser.js"
b307027	Going back from secure page to error page does not clear yellow bar	https://bugzilla.mozilla.org/show_bug.cgi?id=307027	"
mozilla/docshell/base/nsDocShell.cpp"
b1146832	Ugly wrapping of label for submission status of certificate pinning errors in localizations with texts longer than English	https://bugzilla.mozilla.org/show_bug.cgi?id=1146832	"
a/browser/base/content/aboutNetError.xhtml
a/browser/base/content/content.js
a/browser/themes/shared/aboutNetError.css"
b1130893	Wrong principal is used for nsChannelClassifier checks (tracking Protection blocks videos on facebook, and gifs-reencoded-as-h.264 on Twitter)	https://bugzilla.mozilla.org/show_bug.cgi?id=1130893	"
a/netwerk/base/nsChannelClassifier.cpp
a/netwerk/protocol/http/nsHttpChannel.cpp"
b657267	possible for unsignend script to call functions inside signed scripts (jar)	https://bugzilla.mozilla.org/show_bug.cgi?id=657267	"
a/caps/idl/nsIPrincipal.idl
a/caps/include/nsPrincipal.h
a/caps/src/nsNullPrincipal.cpp
a/caps/src/nsPrincipal.cpp
a/caps/src/nsSystemPrincipal.cpp
a/js/src/xpconnect/src/nsXPConnect.cpp
a/js/src/xpconnect/src/xpcinlines.h
a/js/src/xpconnect/src/xpcprivate.h
a/js/src/xpconnect/wrappers/AccessCheck.cpp"
b441211	the 'no site info' tooltip from location bar can be less intrusive, more informative	https://bugzilla.mozilla.org/show_bug.cgi?id=441211	"
a/browser/locales/en-US/chrome/browser/browser.dtd
a/browser/locales/en-US/chrome/browser/browser.properties
a/browser/locales/en-US/chrome/browser/pageInfo.properties"
b477244	Embed a list of URLs for CRLs and have Firefox fetch and update them periodically	https://bugzilla.mozilla.org/show_bug.cgi?id=477244	"
a/security/manager/ssl/src/nsIdentityChecking.cpp"
b662217	Update the Windows RDF for the Flash Player 10.3.181.22 Security Update	https://bugzilla.mozilla.org/show_bug.cgi?id=662217	"
pfs.php"
b702261	"After session restore, ""Error: ASSERTION: browser.js host is inconsistent. Content window has <mochi.test:8888> but cached host is <>. Source File: chrome://browser/content/browser.js Line: 9637"""	https://bugzilla.mozilla.org/show_bug.cgi?id=702261	"
a/browser/base/content/browser.js"
b744945	"Optionally allow Firefox to define its own SSL error behaviour (only if Firefox wants to override the default ""prompts=never"" and ""logging=enabled"")"	https://bugzilla.mozilla.org/show_bug.cgi?id=744945	"
a/browser/components/build/nsModule.cpp"
b787738	Telemetry for Geolocation Prompt UI	https://bugzilla.mozilla.org/show_bug.cgi?id=787738	"
a/browser/components/nsBrowserGlue.js
a/security/manager/boot/public/nsISecurityUITelemetry.idl"
b308060	Rewrite install-blocked message to reflect reality	https://bugzilla.mozilla.org/show_bug.cgi?id=308060	"
browser/base/content/browser.js
browser/locales/en-US/chrome/browser/browser.properties"
b1164569	text overlaps image on SSLv3 error page with small firefox windows	https://bugzilla.mozilla.org/show_bug.cgi?id=1164569	"
a/browser/themes/shared/aboutNetError.css"
